Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t1,0.0,0.0,0.0,16.974371598984796,3922.5605667898562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.787247469953403,5164.942210224797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1003366593009,9145.77922085094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1827195682601,1453.8406876307497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.494916703500799,249.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,374.79581627750895,37.37890391495292,150.81465746571564,31.84820954618017,32.79971628245568
t2,0.0,0.0,0.0,16.390627351357246,3923.117674970672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.43362628708357,5165.015781298074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.340311799454497,9145.90960227412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.694979511704384,1454.302392850211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.168388974621408,249.94039424999997,0.0,0.0,0.0,0.0,0.0,0.0,313.1171948735636,37.30103121092307,150.50046031293363,28.738264273291854,26.11328097536145
t3,0.0,0.0,0.0,14.725804079357246,3923.6747831514876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.106315792663676,5165.089352371351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.172740848454495,9146.0399836973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.303957672704383,1454.7640980696722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.237140462621408,249.88078849999997,0.0,0.0,0.0,0.0,0.0,0.0,255.11419565369565,37.22332074166733,147.6035907741948,26.951944054516144,20.079324952445496
t4,0.0,0.0,0.0,13.060980807357247,3924.2318913323033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.380980366663675,5165.162923444628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.005169897454493,9146.170365120479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.912935833704383,1455.2258032891334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305891950621408,249.82118274999996,0.0,0.0,0.0,0.0,0.0,0.0,200.78660493018194,37.14577216919663,142.36135413600408,24.518181168062117,13.943549648633788
t5,0.0,0.0,0.0,11.396157535357247,3924.788999513119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.655644940663674,5165.236494517905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.837598946454493,9146.300746543659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.521913994704382,1455.6875085085946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374643438621408,249.76157699999996,0.0,0.0,0.0,0.0,0.0,0.0,146.3834162511148,37.068385156226064,131.89883785449166,21.28987251896503,7.680088635097441
t6,0.0,0.0,0.0,9.731334263357247,3925.3461076939348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.930309514663673,5165.310065591182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.670027995454493,9146.431127966838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130892155704382,1456.1492137280559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443394926621409,249.70197124999996,0.0,0.0,0.0,0.0,0.0,0.0,99.3940264877779,36.99115936617339,109.61039576437324,14.559304148576349,3.731131024327542
t7,0.0,0.0,0.0,8.066510991357248,3925.9032158747505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.204974088663672,5165.383636664459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502457044454493,9146.561509390018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739870316704382,1456.6109189475171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512146414621409,249.64236549999995,0.0,0.0,0.0,0.0,0.0,0.0,48.28748123642938,36.91409446315758,69.24839603352031,7.073182873583433,1.8126533927069564
t8,0.0,0.0,0.0,6.401687719357248,3925.691028282937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.479638662663671,5165.457207737736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.334886093454493,9146.691890813197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.348848477704381,1457.0726241669784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.580897902621409,249.58275974999995,0.0,0.0,0.0,0.0,0.0,0.0,23.458963546921375,17.933559055168057,33.64216887352501,3.4362848287667696,0.8806209968689642
t9,0.0,0.0,0.0,8.066510991357248,3926.248136463753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.204974088663672,5165.530778811013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502457044454493,9146.822272236377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739870316704382,1457.5343293864396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512146414621409,249.62815399999994,0.0,0.0,0.0,0.0,0.0,0.0,23.410090714018278,13.785977862033302,33.57208103291922,1.669411583929604,4.159724992428751
