Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t10,0.0,0.0,0.0,9.731334263357247,3927.5745404171976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.930309514663673,5165.60434988429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.670027995454493,9146.952653659557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130892155704382,1457.9960346059008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443394926621409,249.56854824999994,0.0,0.0,0.0,0.0,0.0,0.0,0.5770511718902519,0.009646028752843873,9.401204324896403,7.823256342919338,1.2800457006510646
t11,0.0,0.0,0.0,11.396157535357247,3928.1316485980133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.655644940663674,5165.677920957567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.837598946454493,9147.083035082736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.521913994704382,1458.457739825362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374643438621408,249.61394249999992,0.0,0.0,0.0,0.0,0.0,0.0,14.614289735086654,14.461184786628897,9.381618485686603,16.93502508743106,4.715170315632948
t12,0.0,0.0,0.0,13.060980807357247,3928.688756778829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.380980366663675,5165.751492030844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.005169897454493,9147.213416505916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.912935833704383,1458.9194450448233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305891950621408,249.6593367499999,0.0,0.0,0.0,0.0,0.0,0.0,28.622284055955483,30.14462275061531,16.223637240824623,18.005805094135454,8.143138422145329
t13,0.0,0.0,0.0,14.725804079357246,3929.2458649596447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.106315792663676,5165.825063104121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.172740848454495,9147.343797929096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.303957672704383,1459.3811502642845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.237140462621408,249.7047309999999,0.0,0.0,0.0,0.0,0.0,0.0,41.35594715211507,40.870190821308725,28.035270110884646,21.856833063906862,10.127415215530272
t14,0.0,0.0,0.0,16.390627351357246,3929.8029731404604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.831651218663676,5165.898634177398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.340311799454497,9147.474179352275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.694979511704384,1459.8428554837458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.168388974621408,249.75012524999988,0.0,0.0,0.0,0.0,0.0,0.0,48.51579840029735,47.07011155816841,34.895546657274636,31.975718098259517,11.880749172677135
t15,0.0,0.0,0.0,18.055450623357245,3930.360081321276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5165.972205250675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.604560775455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1460.304560703207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.79551949999987,0.0,0.0,0.0,0.0,0.0,0.0,52.18234334432952,54.70403386899423,34.89554665727463,36.424183648842366,12.7786278482165
t16,0.0,0.0,0.0,18.055450623357245,3930.917189502092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.045776323952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.734942198635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1460.7662659226683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.73591374999987,0.0,0.0,0.0,0.0,0.0,0.0,54.05997339006837,54.590067150001836,34.82284761337049,39.789643815909045,13.238429651918628
t17,0.0,0.0,0.0,18.055450623357245,3931.4742976829075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.809183124224518,5166.119347397229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.865323621814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1461.2279711421295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.67630799999986,0.0,0.0,0.0,0.0,0.0,0.0,53.94734846352572,54.476337861636026,34.75030002578359,39.706748737889114,13.210849594556608
t18,0.0,0.0,0.0,16.390627351357246,3932.031405863723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.083847698224517,5166.192918470506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.995705044994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.694979511704384,1461.6896763615907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.168388974621408,249.61670224999986,0.0,0.0,0.0,0.0,0.0,0.0,39.79651741926367,38.64928008177824,28.50660452677744,28.769741666913617,9.832960183246795
t19,0.0,0.0,0.0,14.725804079357246,3929.353435431234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.358512272224516,5166.266489543783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.126086468174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.303957672704383,1462.151381581052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.237140462621408,249.55709649999986,0.0,0.0,0.0,0.0,0.0,0.0,25.675167268293556,22.855195333686133,17.209026531096807,18.038495334178997,6.374683476377794
