R_ID,zone,voltage_level,Resource,RENEW,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,VRE,Commit,Min_Share,Max_Share,Existing_Cap_MW,New_Build,Cap_size,Max_Cap_MW,Min_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_Mwhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Hydro_level
20,2,trans,Nuclear New,0,1,0,0,0,0,0,0,0,0,1,0,0,4.8492,1,0.48,4.8492,-1,0,0,163.120054,0,75,0.00055,0,0.48,0,10.10431792,uranium,0.75,0,1,1,0,0,0,0,36,36,1,0,0,0,0,0,0,0,0,0,0
21,2,trans,CCGT Old,0,1,0,0,0,0,0,0,0,0,1,0,0,5.485869732,0,0.46,0,-1,0,0,69.88250869,0,12.00014277,0.001500018,0,0.04899697,0,6.969187521,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
22,2,trans,CCGT New,0,1,0,0,0,0,0,0,0,0,1,0,0,15.51422724,1,0.34,-1,-1,0,0,69.88250869,0,10,0.0015,0,0.036215152,0,6.635897436,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
23,2,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,64.936169,0,0.4,0,-1,0,0,105.7782711,0,55.12575389,0.00087489,0,0.094739394,0,9.120735453,coal,0.435111825,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.01,0,0,0,0
24,2,trans,Coal new,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.62,-1,-1,0,0,105.7782711,0,30,0.0009,0,0.132896061,0,9.466312997,coal,0.4455,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.015,0,0,0,0
25,3,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,107.33,1,1,80.799,-1,0,0,35.10580309,0,10.60606061,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,3,trans,Wind,1,0,1,0,0,0,0,0,0,1,0,0,0,139.82946,1,1,111.62946,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,3,trans,Biomass,1,1,0,0,0,0,0,0,0,0,1,0,0,5.336,1,1,2.03254,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0.2,0.2,0.4,0.4,0.004,0,0,0,0
28,3,trans,Pumped Hydro Storage,1,0,0,0,1,0,0,0,0,0,0,0,0,2.167570951,1,1,0.867570951,-1,0,0,112.6783142,0,34.84511084,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
29,3,trans,Hydro Reservoir,1,0,0,0,0,0,0,0,1,0,0,0,0,6.6081,0,1,0,-1,0,0,146.4818085,0,34.84511084,0,0,0,0,0,none,0,0,1,1,0.000372012,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0.514874112
30,3,trans,Hydro Run of River,1,0,1,0,0,0,0,0,0,1,0,0,0,5.69035,1,1,1.196767526,-1,0,0,146.4818085,0,55.15151515,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,3,trans,Nuclear Old,0,1,0,0,0,0,0,0,0,0,1,0,0,3.43036,0,0.4,0,-1,0,0,163.120054,0,75,0.00055,0,0.4,0,9.969247,uranium,0.75,0,1,1,0,0,0,0,36,36,1,0,0,0,0,0,0,0,0,0,0
32,3,trans,Nuclear New,0,1,0,0,0,0,0,0,0,0,1,0,0,9.5188,1,0.48,9.5188,-1,0,0,163.120054,0,75,0.00055,0,0.48,0,10.10431792,uranium,0.75,0,1,1,0,0,0,0,36,36,1,0,0,0,0,0,0,0,0,0,0
33,3,trans,CCGT Old,0,1,0,0,0,0,0,0,0,0,1,0,0,3.604022842,0,0.45,0,-1,0,0,69.88250869,0,10.97540427,0.001397065,0,0.047931818,0,6.151066015,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
34,3,trans,CCGT New,0,1,0,0,0,0,0,0,0,0,1,0,0,51.03229811,1,0.34,-1,-1,0,0,69.88250869,0,10,0.0015,0,0.036215152,0,6.635897436,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
35,3,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,20.28057729,0,0.44,0,-1,0,0,105.7782711,0,55.06500495,0.001114808,0,0.104213333,0,10.50801205,coal,0.43428488,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.01,0,0,0,0
36,3,trans,Coal new,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.62,-1,-1,0,0,105.7782711,0,30,0.0009,0,0.132896061,0,9.466312997,coal,0.4455,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.015,0,0,0,0
37,4,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,66.36,1,1,54.123,-1,0,0,35.10580309,0,10.60606061,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
38,4,trans,Biomass,1,1,0,0,0,0,0,0,0,0,1,0,0,1.906,1,1,1.19639,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0.2,0.2,0.4,0.4,0.004,0,0,0,0
39,4,trans,Pumped Hydro Storage,1,0,0,0,1,0,0,0,0,0,0,0,0,1.391021839,1,1,0.451021839,-1,0,0,112.6783142,0,34.84511084,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
40,4,trans,Hydro Reservoir,1,0,0,0,0,0,0,0,1,0,0,0,0,2.14225,0,1,0,-1,0,0,146.4818085,0,34.84511084,0,0,0,0,0,none,0,0,1,1,0.000556408,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0.377606997
41,4,trans,Hydro Run of River,1,0,1,0,0,0,0,0,0,1,0,0,0,4.193902374,1,1,1.122452374,-1,0,0,146.4818085,0,55.15151515,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
42,4,trans,Nuclear New,0,1,0,0,0,0,0,0,0,0,1,0,0,0.898,1,0.48,0.898,-1,0,0,163.120054,0,75,0.00055,0,0.48,0,10.10431792,uranium,0.75,0,1,1,0,0,0,0,36,36,1,0,0,0,0,0,0,0,0,0,0
43,4,trans,CCGT New,0,1,0,0,0,0,0,0,0,0,1,0,0,34.64106103,1,0.34,-1,-1,0,0,69.88250869,0,10,0.0015,0,0.036215152,0,6.635897436,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
44,4,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,0.257948002,0,0.42,0,-1,0,0,105.7782711,0,55.0485371,0.000902174,0,0.099476364,0,10.56742598,coal,0.434060711,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.01,0,0,0,0
45,4,trans,Coal new,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.62,-1,-1,0,0,105.7782711,0,30,0.0009,0,0.132896061,0,9.466312997,coal,0.4455,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.015,0,0,0,0
46,5,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,9.215243217,1,1,56.154,-1,0,0,35.10580309,0,10.60606061,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
47,5,trans,Biomass,1,1,0,0,0,0,0,0,0,0,1,0,0,0.274,1,1,0.274,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0.2,0.2,0.4,0.4,0.004,0,0,0,0
48,5,trans,Pumped Hydro Storage,1,0,0,0,1,0,0,0,0,0,0,0,0,0.931248512,1,1,0.931248512,-1,0,0,112.6783142,0,34.84511084,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
49,5,trans,Hydro Reservoir,1,0,0,0,0,0,0,0,1,0,0,0,0,0.105,0,1,0,-1,0,0,146.4818085,0,34.84511084,0,0,0,0,0,none,0,0,1,1,0.00042,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,1
50,5,trans,Hydro Run of River,1,0,1,0,0,0,0,0,0,1,0,0,0,14.35620189,1,1,11.09046189,-1,0,0,146.4818085,0,55.15151515,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
51,5,trans,CCGT Old,0,1,0,0,0,0,0,0,0,0,1,0,0,0.983853972,0,0.14,0,-1,0,0,69.88250869,0,10.80818361,0.001913843,0,0.014912121,0,7.70319442,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
52,5,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,0.67875,0,0.23,0,-1,0,0,105.7782711,0,54.97979798,0.00103,0,0.054475152,0,9.842354016,coal,0.433125,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.01,0,0,0,0
53,1,trans,Backup,0,1,0,0,0,0,0,0,0,0,1,0,0,7.748866281,0,1,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
54,3,trans,Backup,0,1,0,0,0,0,0,0,0,0,1,0,0,1.030580762,0,1,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
55,5,trans,Backup,0,1,0,0,0,0,0,0,0,0,1,0,0,1.220552957,0,1,0,-1,0,0,0,0,0,0,0,0,0,27.77777778,diesel,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
56,1,trans,Batteries,0,0,0,0,1,0,0,0,0,0,0,0,0,14.03844075,1,1,-1,-1,0,0,150.3449643,0,7.049,0.00161196,0,0,0,0,none,0,0.002083333,0.948683298,0.948683298,0.25,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
57,2,trans,Batteries,0,0,0,0,1,0,0,0,0,0,0,0,0,15.71356543,1,1,-1,-1,0,0,150.3449643,0,7.049,0.00161196,0,0,0,0,none,0,0.002083333,0.948683298,0.948683298,0.25,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
58,3,trans,Batteries,0,0,0,0,1,0,0,0,0,0,0,0,0,11.84543211,1,1,-1,-1,0,0,150.3449643,0,7.049,0.00161196,0,0,0,0,none,0,0.002083333,0.948683298,0.948683298,0.25,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
59,4,trans,Batteries,0,0,0,0,1,0,0,0,0,0,0,0,0,10.85428469,1,1,-1,-1,0,0,150.3449643,0,7.049,0.00161196,0,0,0,0,none,0,0.002083333,0.948683298,0.948683298,0.25,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
60,5,trans,Batteries,0,0,0,0,1,0,0,0,0,0,0,0,0,3.437791376,1,1,-1,-1,0,0,150.3449643,0,7.049,0.00161196,0,0,0,0,none,0,0.002083333,0.948683298,0.948683298,0.25,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
