Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t10,0.0,0.0,0.0,9.731334263357247,3926.887284753191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.930309514663673,5165.60434988429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.670027995454493,9146.952653659557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130892155704382,1457.9960346059008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443394926621409,249.67354824999993,0.0,0.0,0.0,0.0,0.0,0.0,63.64831251453414,2.461090451042641,14.919284057000262,13.858256394927226,16.389343822465953
t11,0.0,0.0,0.0,11.396157535357247,3927.444392934007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.655644940663674,5165.677920957567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.837598946454493,9147.083035082736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.521913994704382,1458.457739825362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374643438621408,249.7189424999999,0.0,0.0,0.0,0.0,0.0,0.0,159.81799627588387,2.455963180089999,35.41270707467369,36.424252370299335,36.243881488228595
t12,0.0,0.0,0.0,13.060980807357247,3928.0015011148225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.380980366663675,5165.751492030844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.005169897454493,9147.213416505916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.912935833704383,1458.9194450448233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305891950621408,249.7643367499999,0.0,0.0,0.0,0.0,0.0,0.0,289.3889833556814,10.95129940808151,61.039507815583576,59.59919851467799,57.02514582861036
t13,0.0,0.0,0.0,14.725804079357246,3928.5586092956382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.106315792663676,5165.825063104121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.172740848454495,9147.343797929096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.303957672704383,1459.3811502642845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.237140462621408,249.80973099999989,0.0,0.0,0.0,0.0,0.0,0.0,428.5098497248306,22.43251648854737,81.30575949407583,75.79770915003422,75.97879829652959
t14,0.0,0.0,0.0,16.390627351357246,3929.115717476454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.831651218663676,5165.898634177398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.340311799454497,9147.474179352275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.694979511704384,1459.8428554837458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.168388974621408,249.85512524999987,0.0,0.0,0.0,0.0,0.0,0.0,574.9269016059304,33.889814370589335,91.68406485972494,84.09293278139045,82.9264796895782
t15,0.0,0.0,0.0,18.055450623357245,3929.6728256572696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5165.972205250675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.604560775455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1460.304560703207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.90051949999986,0.0,0.0,0.0,0.0,0.0,0.0,649.6742855242147,39.757072804531894,96.99877346846921,88.3408995632264,86.99844229625768
t16,0.0,0.0,0.0,18.055450623357245,3930.2299338380853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.045776323952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.734942198635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1460.7662659226683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.84091374999986,0.0,0.0,0.0,0.0,0.0,0.0,693.0480181146806,39.67424558277481,99.7204247015647,89.02915154649253,86.81719557047329
t17,0.0,0.0,0.0,18.055450623357245,3930.787042018901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.119347397229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.865323621814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1461.2279711421295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.78130799999985,0.0,0.0,0.0,0.0,0.0,0.0,684.015390971783,32.15726991642923,99.51267385000992,86.83438429395743,81.16749998299578
t18,0.0,0.0,0.0,18.055450623357245,3931.3441501997168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.192918470506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9147.995705044994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1461.6896763615907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.72170224999985,0.0,0.0,0.0,0.0,0.0,0.0,611.8854098699526,20.58624333090683,80.74719049843368,72.58568577767534,74.39266574916071
t19,0.0,0.0,0.0,18.055450623357245,3931.9012583805325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556986644663677,5166.266489543783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.507882750454495,9148.126086468174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1462.151381581052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.66209649999985,0.0,0.0,0.0,0.0,0.0,0.0,535.8645512619598,10.001182905010577,56.953911704035185,57.91794233647719,67.5531173947868
